Year,Location,Province,EarningBracket ($),NoContributers
2017,N.W.T.,Northwest Territories,75000 - 79999,892
2017,N.W.T.,Northwest Territories,80000 - 84999,831
2017,N.W.T.,Northwest Territories,85000 - 89999,780
2017,N.W.T.,Northwest Territories,90000 - 94999,805
2017,N.W.T.,Northwest Territories,95000 - 99999,"9,214"
2017,N.W.T.,Northwest Territories,"100,000+",
2018,N.W.T.,Northwest Territories,$0 - $3499,376
2018,N.W.T.,Northwest Territories,$3500 -$ 4999,578
2018,N.W.T.,Northwest Territories,5000 - 9999,"1,778"
2018,N.W.T.,Northwest Territories,10000 - 14999,"1,519"
2018,N.W.T.,Northwest Territories,15000 - 19999,"1,446"
2018,N.W.T.,Northwest Territories,20000 - 24999,"1,163"
2018,N.W.T.,Northwest Territories,25000 - 29999,"1,093"
2018,N.W.T.,Northwest Territories,30000 - 34999,"1,005"
2018,N.W.T.,Northwest Territories,35000 - 39999,"1,010"
2018,N.W.T.,Northwest Territories,40000 - 44999,958
2018,N.W.T.,Northwest Territories,45000 - 48299,945
2018,N.W.T.,Northwest Territories,48300 - 49999,963
2018,N.W.T.,Northwest Territories,50000 - 54999,335
2018,N.W.T.,Northwest Territories,55000 - 59999,834
2018,N.W.T.,Northwest Territories,60000 - 64999,888
2018,N.W.T.,Northwest Territories,65000 - 69999,815
2018,N.W.T.,Northwest Territories,70000 - 74999,869
2018,N.W.T.,Northwest Territories,75000 - 79999,901
2018,N.W.T.,Northwest Territories,80000 - 84999,824
2018,N.W.T.,Northwest Territories,85000 - 89999,870
2018,N.W.T.,Northwest Territories,90000 - 94999,801
2018,N.W.T.,Northwest Territories,95000 - 99999,"9,460"
2018,N.W.T.,Northwest Territories,"100,000+",
2019,N.W.T.,Northwest Territories,$0 - $3499,495
2019,N.W.T.,Northwest Territories,$3500 -$ 4999,571
2019,N.W.T.,Northwest Territories,5000 - 9999,"1,807"
2019,N.W.T.,Northwest Territories,10000 - 14999,"1,555"
